"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_PERMS_USER_INGTROUP","is already inside of group:","is already inside of group:","již je ve skupině:","befindet sich bereits in der Gruppe:","уже находится в группе:","już znajduje się w grupie:","már a csoportban van:","è già all'interno del gruppo:","ya está en el grupo:","est déjà dans le groupe:","已在群組中:","はすでにグループ内です:","já está no grupo:","已在组中：",
"VSTR_ERROR_UNKOWN_PERM","permission is unknown/unregistered!","permission is unknown/unregistered!","oprávnění je neznámé/neregistrované!","Berechtigung ist unbekannt/nicht registriert!","разрешение неизвестно/не зарегистрировано!","uprawnienie jest nieznane/niezarejestrowane!","az engedély ismeretlen/nincs regisztrálva!","l'autorizzazione è sconosciuta/non registrata!","¡el permiso es desconocido/no registrado!","l'autorisation est inconnue/non enregistrée!","權限未知/未註冊!","権限が不明/未登録です!","a permissão é desconhecida/não registrada!","权限未知/未注册！",
"VSTR_ERROR_NAME_MISMATCH","Your name does not match the usergroup name!<br/>You can't access the tools<br/>change your name to:","Your name does not match the usergroup name!<br/>You can't access the tools<br/>change your name to:","Vaše jméno neodpovídá názvu uživatelské skupiny!<br/>K nástrojům nemáte přístup<br/>změňte si jméno na:","Dein Name stimmt nicht mit dem Namen der Benutzergruppe überein!<br/>Du hast keinen Zugriff auf die Tools<br/>ändere deinen Namen auf:","Ваше имя не совпадает с названием группы!<br/>У вас нет доступа к инструментам<br/>измените имя на:","Twoja nazwa nie odpowiada nazwie grupy użytkowników!<br/>Nie masz dostępu do narzędzi<br/>zmień swoją nazwę na:","A neved nem egyezik a felhasználói csoport nevével!<br/>Nem férsz hozzá az eszközökhöz<br/>változtasd meg a neved erre:","Il tuo nome non corrisponde al nome del gruppo utenti!<br/>Non puoi accedere agli strumenti<br/>cambia il tuo nome in:","¡Tu nombre no coincide con el nombre del grupo de usuarios!<br/>No tienes acceso a las herramientas<br/>cambia tu nombre a:","Votre nom ne correspond pas au nom du groupe d'utilisateurs!<br/>Vous n'avez pas accès aux outils<br/>changez votre nom en:","您的名稱與使用者群組名稱不相符!<br/>您無法存取工具<br/>請將您的名稱更改為:","あなたの名前がユーザーグループ名と一致しません!<br/>ツールへアクセスできません<br/>名前を次のように変更してください:","Seu nome não corresponde ao nome do grupo de usuários!<br/>Você não tem acesso às ferramentas<br/>altere seu nome para:","您的名称与用户组名称不一致！<br/>您无法访问工具<br/>请将您的名称更改为：",
"VSTR_ERROR_NOT_ADMIN","You are not an admin or belong to a usergroup.","You are not an admin or belong to a usergroup.","Nejste admin ani nepatříte do žádné uživatelské skupiny.","Du bist kein Admin und gehörst keiner Benutzergruppe an.","Вы не администратор и не состоите в группе пользователей.","Nie jesteś administratorem ani nie należysz do grupy użytkowników.","Nem vagy admin, és nem tartozol felhasználói csoporthoz.","Non sei un admin e non appartieni a un gruppo utenti.","No eres admin ni perteneces a ningún grupo de usuarios.","Vous n'êtes pas administrateur et vous n'appartenez à aucun groupe d'utilisateurs.","您不是管理員，也不屬於任何使用者群組。","あなたは管理者ではなく、ユーザーグループにも所属していません。","Você não é admin e não pertence a nenhum grupo de usuários.","您不是管理员，也不属于任何用户组。",
"VSTR_ERROR_CANT_TARGET","You cannot target Super Admins with:","You cannot target Super Admins with:","Nemůžete cílit na Super Adminy pomocí:","Du kannst Super-Admins nicht anvisieren mit:","Вы не можете нацеливаться на Super Admin с помощью:","Nie możesz celować w Super Adminów za pomocą:","Nem célozhatsz Super Adminokat ezzel:","Non puoi prendere di mira i Super Admin con:","No puedes apuntar a los Super Admins con:","Vous ne pouvez pas cibler les Super Admin avec:","您不能使用以下方式鎖定 Super Admin:","次のもので Super Admin を対象にすることはできません:","Você não pode mirar em Super Admins com:","您不能使用以下方式锁定超级管理员：",
"VSTR_ERROR_NO_PERM","You don't have the following permission:","You don't have the following permission:","Nemáte následující oprávnění:","Du verfügst nicht über folgende Berechtigung:","У вас нет следующего разрешения:","Nie masz następującego uprawnienia:","Nincs meg a következő engedélyed:","Non hai la seguente autorizzazione:","No tienes el siguiente permiso:","Vous n'avez pas l'autorisation suivante:","您缺少以下權限:","次の権限がありません:","Você não tem a seguinte permissão:","您没有以下权限：",
"VSTR_PERM_LVL_LOW","Permission level too low to exectue:","Permission level too low to exectue:","Úroveň oprávnění je příliš nízká pro provedení:","Berechtigungsstufe zu niedrig, um auszuführen:","Недостаточный уровень прав для выполнения:","Poziom uprawnień zbyt niski, aby wykonać:","A jogosultsági szint túl alacsony a végrehajtáshoz:","Livello di autorizzazione troppo basso per eseguire:","El nivel de permiso es demasiado bajo para ejecutar:","Niveau d'autorisation trop faible pour exécuter:","權限等級過低，無法執行:","実行するには権限レベルが低すぎます:","Nível de permissão muito baixo para executar:","权限等级过低，无法执行：",
"VSTR_BANNED","is now banned!","is now banned!","je nyní zabanován!","ist jetzt gebannt!","теперь забанен!","jest teraz zbanowany!","mostantól ki van tiltva!","è ora bannato!","¡ahora está baneado!","est maintenant banni!","已被封禁!","が BAN されました!","agora está banido!","已被封禁！",
"VSTR_BAN_REASON","Banned By Server Admin","Banned By Server Admin","Zabanován správcem serveru","Vom Server-Admin gebannt","Забанен администратором сервера","Zbanowany przez administratora serwera","Szerveradmin tiltotta ki","Bannato dall'amministratore del server","Baneado por el administrador del servidor","Banni par l'administrateur du serveur","由伺服器管理員封禁","サーバー管理者により BAN されました","Banido pelo administrador do servidor","由服务器管理员封禁",
"VSTR_ERROR_BAN_PLAYER","Unable to ban player","Unable to ban player","Nelze zabanovat hráče","Spieler kann nicht gebannt werden","Не удалось забанить игрока","Nie można zbanować gracza","Nem sikerült kitiltani a játékost","Impossibile bannare il giocatore","No se puede banear al jugador","Impossible de bannir le joueur","無法封禁該玩家","プレイヤーを BAN できません","Não é possível banir o jogador","无法封禁该玩家",
"VSTR_KICK_PLAYER","Kicking player:","Kicking player:","Vyhazuji hráče:","Spieler wird gekickt:","Кик игрока:","Wyrzucanie gracza:","Játékos kirúgása:","Espulsione giocatore:","Expulsando al jugador:","Exclusion du joueur:","正在踢出玩家:","プレイヤーをキック中:","Expulsando o jogador:","正在踢出玩家:",
"VSTR_NOTIFY_SPECTATE","Press (PAGE-UP) to exit spectate!","Press (PAGE-UP) to exit spectate!","Stiskněte (PAGE-UP) pro ukončení režimu spectate!","Drücke (PAGE-UP), um den Zuschauermodus zu verlassen!","Нажмите (PAGE-UP), чтобы выйти из режима наблюдателя!","Naciśnij (PAGE-UP), aby wyjść z trybu obserwatora!","Nyomd meg a (PAGE-UP) gombot a néző mód elhagyásához!","Premi (PAGE-UP) per uscire dalla modalità spettatore!","¡Pulsa (PAGE-UP) para salir del modo espectador!","Appuyez sur (PAGE-UP) pour quitter le mode spectateur!","按下（PAGE‑UP）即可退出觀戰模式!","(PAGE-UP) を押すと観戦モードを終了できます!","Pressione (PAGE-UP) para sair do modo espectador!","按下（PAGE‑UP）即可退出观战模式!",
"VSTR_NOTIFY_GODMODE_OFF","GodMode Toggled OFF!","GodMode Toggled OFF!","GodMode vypnut!","GodMode AUSgeschaltet!","GodMode выключен!","GodMode WYŁĄCZONY!","GodMode kikapcsolva!","GodMode disattivato!","¡GodMode DESACTIVADO!","GodMode DÉSACTIVÉ!","上帝模式已关闭！","GodMode を無効化しました!","GodMode DESATIVADO!","上帝模式已关闭！",
"VSTR_NOTIFY_GODMODE_ON","GodMode Toggled ON!","GodMode Toggled ON!","GodMode zapnut!","GodMode EINgeschaltet!","GodMode включен!","GodMode WŁĄCZONY!","GodMode bekapcsolva!","GodMode attivato!","¡GodMode ACTIVADO!","GodMode ACTIVÉ!","上帝模式已开启！","GodMode を有効化しました!","GodMode ATIVADO!","上帝模式已开启！",
"VSTR_NOTIFY_REVOKE_GODMODE","Admin Revoked your godmode","Admin Revoked your godmode","Admin vám odebral GodMode","Admin hat dir den GodMode entzogen","Администратор отключил вам GodMode","Admin odebrał ci GodMode","Az admin visszavonta a GodMode-odat","L'admin ha revocato il tuo GodMode","El admin te quitó el GodMode","L'admin vous a retiré le GodMode","管理员已取消您的上帝模式！","管理者があなたの GodMode を解除しました","O admin removeu seu GodMode","管理员已取消您的上帝模式！",
"VSTR_NOTIFY_REVOKE_GODMODE_ADMIN","You Revoked selected players godmode!","You Revoked selected players godmode!","Odebral(a) jste GodMode vybranému hráči!","Du hast dem ausgewählten Spieler den GodMode entzogen!","Вы отключили GodMode выбранному игроку!","Odebrałeś(-aś) GodMode wybranemu graczowi!","Visszavontad a kiválasztott játékos GodMode-ját!","Hai revocato il GodMode al giocatore selezionato!","¡Quitaste el GodMode al jugador seleccionado!","Vous avez retiré le GodMode au joueur sélectionné!","您已移除所选玩家的上帝模式！","選択したプレイヤーの GodMode を解除しました!","Você removeu o GodMode do jogador selecionado!","您已移除所选玩家的上帝模式！",
"VSTR_NOTIFY_GIVE_GODMODE","Admin Gave you GodMode","Admin Gave you GodMode","Admin vám dal GodMode","Admin hat dir GodMode gegeben","Администратор выдал вам GodMode","Admin dał ci GodMode","Az admin GodMode-ot adott neked","L'admin ti ha dato il GodMode","El admin te dio GodMode","L'admin vous a donné le GodMode","管理员已设置您上帝模式！","管理者があなたに GodMode を付与しました","O admin lhe concedeu GodMode","管理员已设置您上帝模式！",
"VSTR_NOTIFY_GIVE_GODMODE_ADMIN","You Gave selected player godmode!","You Gave selected player godmode!","Dal(a) jste vybranému hráči GodMode!","Du hast dem ausgewählten Spieler GodMode gegeben!","Вы выдали выбранному игроку GodMode!","Dałeś(-aś) wybranemu graczowi GodMode!","GodMode-ot adtál a kiválasztott játékosnak!","Hai dato il GodMode al giocatore selezionato!","¡Diste GodMode al jugador seleccionado!","Vous avez donné le GodMode au joueur sélectionné!","您给了选定玩家上帝模式！","選択したプレイヤーに GodMode を付与しました!","Você concedeu GodMode ao jogador selecionado!","您给了选定玩家上帝模式！",
"VSTR_NOTIFY_REVOKE_AMMO","Admin Revoked your unlimited ammo","Admin Revoked your unlimited ammo","Admin vám odebral Unlimited Ammo","Admin hat dir Unlimited Ammo entzogen","Администратор отключил вам Unlimited Ammo","Admin odebrał ci Unlimited Ammo","Az admin visszavonta az Unlimited Ammo-t","L'admin ha revocato la tua Unlimited Ammo","El admin te quitó Unlimited Ammo","L'admin vous a retiré Unlimited Ammo","管理员已移除您的无限弹药权限！","管理者があなたの Unlimited Ammo を解除しました","O admin removeu sua Unlimited Ammo","管理员已移除您的无限弹药权限！",
"VSTR_NOTIFY_REVOKE_AMMO_ADMIN","You Revoked selected players unlimited ammo!","You Revoked selected players unlimited ammo!","Odebral(a) jste vybranému hráči Unlimited Ammo!","Du hast dem ausgewählten Spieler Unlimited Ammo entzogen!","Вы отключили выбранному игроку Unlimited Ammo!","Odebrałeś(-aś) wybranemu graczowi Unlimited Ammo!","Visszavontad a kiválasztott játékos Unlimited Ammo-ját!","Hai revocato la Unlimited Ammo al giocatore selezionato!","¡Quitaste Unlimited Ammo al jugador seleccionado!","Vous avez retiré Unlimited Ammo au joueur sélectionné!","您已移除所选玩家的无限弹药权限！","選択したプレイヤーの Unlimited Ammo を解除しました!","Você removeu a Unlimited Ammo do jogador selecionado!","您已移除所选玩家的无限弹药权限！",
"VSTR_NOTIFY_GIVE_AMMO","Admin Gave you Unlimited Ammo!","Admin Gave you Unlimited Ammo!","Admin vám dal Unlimited Ammo!","Admin hat dir Unlimited Ammo gegeben!","Администратор выдал вам Unlimited Ammo!","Admin dał ci Unlimited Ammo!","Az admin Unlimited Ammo-t adott neked!","L'admin ti ha dato Unlimited Ammo!","¡El admin te dio Unlimited Ammo!","L'admin vous a donné Unlimited Ammo!","管理员已授予您无限弹药！","管理者があなたに Unlimited Ammo を付与しました!","O admin lhe concedeu Unlimited Ammo!","管理员已授予您无限弹药！",
"VSTR_NOTIFY_GIVE_AMMO_ADMIN","You Gave selected player Unlimited Ammo!","You Gave selected player Unlimited Ammo!","Dal(a) jste vybranému hráči Unlimited Ammo!","Du hast dem ausgewählten Spieler Unlimited Ammo gegeben!","Вы выдали выбранному игроку Unlimited Ammo!","Dałeś(-aś) wybranemu graczowi Unlimited Ammo!","Unlimited Ammo-t adtál a kiválasztott játékosnak!","Hai dato Unlimited Ammo al giocatore selezionato!","¡Diste Unlimited Ammo al jugador seleccionado!","Vous avez donné Unlimited Ammo au joueur sélectionné!","您已授予所选玩家无限弹药！","選択したプレイヤーに Unlimited Ammo を付与しました!","Você concedeu Unlimited Ammo ao jogador selecionado!","您已授予所选玩家无限弹药！",
"VSTR_NOTIFY_RESTART_ERROR","There is already a request for a restart","There is already a request for a restart","Žádost o restart už existuje","Es liegt bereits eine Anfrage für einen Neustart vor","Запрос на перезапуск уже существует","Żądanie restartu już istnieje","Már van érvényben újraindítási kérés","Esiste già una richiesta di riavvio","Ya existe una solicitud de reinicio","Une demande de redémarrage existe déjà","已有重新啟動的請求","すでに再起動の要求が存在します","Já existe uma solicitação de reinício","已有重启请求",
"VSTR_NOTIFY_RESTART_IN","Server Restart in:","Server Restart in:","Restart serveru za:","Server-Neustart in:","Перезапуск сервера через:","Restart serwera za:","Szerver újraindítás eddig:","Riavvio del server tra:","Reinicio del servidor en:","Redémarrage du serveur dans:","伺服器將在以下時間後重新啟動:","サーバー再起動まで:","Reinício do servidor em:","服务器将在以下时间后重启:",
"VSTR_NOTIFY_TP_BRINGSELF_ERR","You cannot bring yourself.","You cannot bring yourself.","Nemůžete přivést sám sebe.","Du kannst dich nicht selbst bringen.","Нельзя привести самого себя.","Nie możesz przywołać samego siebie.","Magadat nem hozhatod oda.","Non puoi portare te stesso.","No puedes traerte a ti mismo.","Vous ne pouvez pas vous amener vous-même.","您不能把自己帶過來。","自分自身を Bring することはできません。","Você não pode trazer a si mesmo.","您不能把自己带过来。",
"VSTR_NOTIFY_ERR_TP_NORETURN","No return position available.","No return position available.","Není dostupná pozice pro návrat.","Keine Rückkehrposition verfügbar.","Нет доступной позиции возврата.","Brak dostępnej pozycji powrotu.","Nincs elérhető visszatérési pozíció.","Nessuna posizione di ritorno disponibile.","No hay una posición de retorno disponible.","Aucune position de retour disponible.","沒有可用的返回位置。","戻り位置が利用できません。","Não há posição de retorno disponível.","没有可用的返回位置。",
"VSTR_NOTIFY_ERR_TPSELF","You cannot teleport to yourself","You cannot teleport to yourself","Nemůžete se teleportovat na sebe","Du kannst dich nicht zu dir selbst teleportieren","Нельзя телепортироваться к самому себе","Nie możesz teleportować się do siebie","Nem teleportálhatsz saját magadhoz","Non puoi teletrasportarti su te stesso","No puedes teletransportarte a ti mismo","Vous ne pouvez pas vous téléporter à vous-même","您不能把自己傳送到自己","自分自身へテレポートすることはできません","Você não pode se teletransportar para si mesmo","您不能把自己传送到自己",
"VSTR_TP_ERR_INVALID","Invalid Position","Invalid Position","Neplatná pozice","Ungültige Position","Недопустимая позиция","Nieprawidłowa pozycja","Érvénytelen pozíció","Posizione non valida","Posición no válida","Position invalide","無效的位置","無効な位置です","Posição inválida","无效的位置",
"VSTR_DEL_SUCESS","Successfully deleted","Successfully deleted","Úspěšně smazáno","Erfolgreich gelöscht","Успешно удалено","Pomyślnie usunięto","Sikeresen törölve","Eliminato con successo","Eliminado correctamente","Supprimé avec succès","成功刪除","正常に削除しました","Excluído com sucesso","成功删除",
"VSTR_ADD_SUCESS","Successfully added","Successfully added","Úspěšně přidáno","Erfolgreich hinzugefügt","Успешно добавлено","Pomyślnie dodano","Sikeresen hozzáadva","Aggiunto con successo","Añadido correctamente","Ajouté avec succès","成功新增","正常に追加しました","Adicionado com sucesso","成功新增",
"VSTR_EDIT_SUCESS","Successfully edited","Successfully edited","Úspěšně upraveno","Erfolgreich bearbeitet","Успешно изменено","Pomyślnie edytowano","Sikeresen szerkesztve","Modificato con successo","Editado correctamente","Modifié avec succès","成功修改","正常に編集しました","Editado com sucesso","成功修改",
"VSTR_NOT_DEFINED","NOT DEFINED","NOT DEFINED","NENÍ DEFINOVÁNO","NICHT DEFINIERT","НЕ ОПРЕДЕЛЕНО","NIE ZDEFINIOWANO","NINCS MEGHATÁROZVA","NON DEFINITO","NO DEFINIDO","NON DÉFINI","未定義","未定義","NÃO DEFINIDO","未定义",
"VSTR_NOTIFY_TOOLS_TOGGLE_ON","Admin Tools & keybinds toggled [ON]!","Admin Tools & keybinds toggled [ON]!","Admin Tools a klávesové zkratky [ZAPNUTO]!","Admin-Tools & Keybinds [AN]!","Admin Tools и горячие клавиши [ВКЛ]!","Admin Tools i skróty klawiszowe [WŁĄCZONE]!","Admin eszközök és billentyűk [BE]!","Admin Tools e scorciatoie [ATTIVATI]!","¡Admin Tools y accesos directos [ACTIVADOS]!","Admin Tools & raccourcis [ACTIVÉS]!","Admin Tools 與快捷鍵［已啟用］!","Admin Tools とショートカット［有効］!","Admin Tools e atalhos [ATIVADOS]!","管理员工具与快捷键［已启用］!",
"VSTR_NOTIFY_TOOLS_TOGGLE_OFF","Admin Tools & keybinds toggled [OFF]!","Admin Tools & keybinds toggled [OFF]!","Admin Tools a klávesové zkratky [VYPNUTO]!","Admin-Tools & Keybinds [AUS]!","Admin Tools и горячие клавиши [ВЫКЛ]!","Admin Tools i skróty klawiszowe [WYŁĄCZONE]!","Admin eszközök és billentyűk [KI]!","Admin Tools e scorciatoie [DISATTIVATI]!","¡Admin Tools y accesos directos [DESACTIVADOS]!","Admin Tools & raccourcis [DÉSACTIVÉS]!","Admin Tools 與快捷鍵［已停用］!","Admin Tools とショートカット［無効］!","Admin Tools e atalhos [DESATIVADOS]!","管理员工具与快捷键［已停用］!",
"VSTR_NOTIFY_ERR_NOTTOGGLE","[VPPAT] Can't preform that action","[VPPAT] Can't preform that action","[VPPAT] Nelze provést tuto akci","[VPPAT] Diese Aktion kann nicht ausgeführt werden","[VPPAT] Невозможно выполнить это действие","[VPPAT] Nie można wykonać tej akcji","[VPPAT] Ezt a műveletet nem lehet végrehajtani","[VPPAT] Impossibile eseguire questa azione","[VPPAT] No se puede realizar esta acción","[VPPAT] Impossible d'exécuter cette action","[VPPAT] 無法執行此動作","[VPPAT] この操作は実行できません","[VPPAT] Não é possível executar esta ação","[VPPAT] 无法执行此操作",
"VSTR_NOTIFY_DEL_OBJ","Delete Object?","Delete Object?","Smazat objekt?","Objekt löschen?","Удалить объект?","Usunąć obiekt?","Objektum törlése?","Eliminare oggetto?","¿Eliminar objeto?","Supprimer l'objet?","刪除物件?","オブジェクトを削除しますか?","Excluir objeto?","删除对象？",
"VSTR_NOTIFY_Q_DEL","Are you sure you wish to delete","Are you sure you wish to delete","Opravdu chcete smazat","Möchtest du wirklich löschen","Вы уверены, что хотите удалить","Czy na pewno chcesz usunąć","Biztosan törölni szeretnéd","Sei sicuro di voler eliminare","¿Seguro que quieres eliminar","Êtes-vous sûr de vouloir supprimer","確定要刪除","本当に削除しますか","Tem certeza de que deseja excluir","确定要删除？",
"VSTR_NOTIFY_COPY_CLIPBOARD","Copied My Position to Clipboard!","Copied My Position to Clipboard!","Moje pozice zkopírována do schránky!","Meine Position in die Zwischenablage kopiert!","Моя позиция скопирована в буфер обмена!","Skopiowano moją pozycję do schowka!","Pozícióm a vágólapra másolva!","La mia posizione è stata copiata negli appunti!","¡Mi posición copiada al portapapeles!","Ma position a été copiée dans le presse-papiers!","已將我的位置複製到剪貼簿!","自分の位置をクリップボードにコピーしました!","Minha posição copiada para a área de transferência!","已将我的位置复制到剪贴板！",
"VSTR_NOTIFY_COPY_POS","Copied position of object at crosshair to clipboard!","Copied position of object at crosshair to clipboard!","Pozice objektu v zaměřovači zkopírována do schránky!","Position des Objekts im Fadenkreuz in die Zwischenablage kopiert!","Позиция объекта в прицеле скопирована в буфер обмена!","Skopiowano pozycję obiektu na celowniku do schowka!","A célkeresztben lévő objektum pozíciója vágólapra másolva!","Posizione dell'oggetto nel mirino copiata negli appunti!","¡Posición del objeto en la mira copiada al portapapeles!","La position de l'objet dans le viseur a été copiée dans le presse-papiers!","已將準星下物件的位置複製到剪貼簿!","照準上のオブジェクトの位置をクリップボードにコピーしました!","Posição do objeto na mira copiada para a área de transferência!","已将准星下对象的位置复制到剪贴板！",
"VSTR_NOTIFY_SERVER_LOCK_OFF","Server is NO LONGER locked!","Server is NO LONGER locked!","Server UŽ NENÍ zamčen!","Server ist NICHT MEHR gesperrt!","Сервер БОЛЬШЕ не заблокирован!","Serwer NIE JEST JUŻ zablokowany!","A szerver MÁR NINCS zárolva!","Il server NON è più bloccato!","¡El servidor YA NO está bloqueado!","Le serveur n'est PLUS verrouillé!","伺服器已不再鎖定!","サーバーはもはやロックされていません!","O servidor NÃO está mais bloqueado!","服务器已解除锁定！",
"VSTR_NOTIFY_SERVER_LOCK_ON","server is now locked!","server is now locked!","server je nyní zamčen!","Server ist jetzt gesperrt!","сервер теперь заблокирован!","serwer jest teraz zablokowany!","a szerver mostantól zárolva!","il server è ora bloccato!","¡el servidor ahora está bloqueado!","le serveur est maintenant verrouillé!","伺服器現已鎖定!","サーバーは現在ロックされています!","o servidor agora está bloqueado!","服务器现已锁定！",
"VSTR_NOTIFY_SERVER_LOCKED","Server is Currently Locked!","Server is Currently Locked!","Server je aktuálně zamčen!","Server ist derzeit gesperrt!","Сервер сейчас заблокирован!","Serwer jest obecnie zablokowany!","A szerver jelenleg zárolva van!","Il server è attualmente bloccato!","¡El servidor está actualmente bloqueado!","Le serveur est actuellement verrouillé!","伺服器目前為鎖定狀態!","サーバーは現在ロック状態です!","O servidor está bloqueado no momento!","服务器目前为锁定状态！",
"VSTR_NOTIFY_LOGGED_IN_ADMIN","Logged in as admin","Logged in as admin","Přihlášen jako admin","Als Admin angemeldet","Вход выполнен как администратор","Zalogowano jako admin","Adminisztrátorként bejelentkezve","Accesso effettuato come admin","Conectado como admin","Connecté en tant qu'admin","已以管理員身分登入","管理者としてログインしました","Conectado como admin","已以管理员身份登录",
"VSTR_NOTIFY_LOGGED_OUT_ADMIN","Logged out","Logged out","Odhlášeno","Abgemeldet","Выход выполнен","Wylogowano","Kijelentkezve","Disconnesso","Sesión cerrada","Déconnecté","已登出","ログアウトしました","Desconectado","已登出",
"VSTR_TOOLTIP_PLAYERMANAGER","Manage players","Manage players","Spravovat hráče","Spieler verwalten","Управление игроками","Zarządzaj graczami","Játékosok kezelése","Gestisci giocatori","Gestionar jugadores","Gérer les joueurs","管理玩家","プレイヤーを管理","Gerenciar jogadores","管理玩家",
"VSTR_TOOLTIP_ITEMMANAGER","Spawn items on players","Spawn items on players","Spawnovat předměty na hráčích","Items auf Spielern spawnen","Спавн предметов на игроках","Spawnuj przedmioty na graczach","Tárgyak spawnolása játékosokra","Spawna oggetti sui giocatori","Spawnear objetos en jugadores","Spawners d'objets sur les joueurs","在玩家身上生成物品","プレイヤーにアイテムをスポーン","Spawnar itens nos jogadores","在玩家身上生成物品",
