"Language","original","german","english","czech","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"vpp_settings_healtarget","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","治療自己或準星處的玩家","Heal Self or Player on Crosshairs","Heal Self or Player on Crosshairs","治疗自己或准星处的玩家",
"vpp_settings_surprise","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","綁定並按下我 ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","Assign Me & Press Me ( ͡° ͜ʖ ͡°)","绑定并按下我 ( ͡° ͜ʖ ͡°)",
"vpp_settings_cmdconsole","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","Shortcut key to open commands console","打開命令控制台的快捷鍵","Shortcut key to open commands console","Shortcut key to open commands console","打开命令控制台的快捷键",
"vpp_settings_skeletons","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","切換玩家骨骼 ESP","Toggle Player Skeleton ESP","Toggle Player Skeleton ESP","切换玩家骨骼 ESP",
"vpp_settings_invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","Toggle Invisibility","切換隱身","Toggle Invisibility","Toggle Invisibility","切换隐身",
"vpp_settings_camforward","Camera move forward","Camera move forward","Camera move forward","Camera move forward","Camera move forward","Camera move forward","Camera move forward","Camera move forward","Camera move forward","Camera move forward","相機向前移動","Camera move forward","Camera move forward","相机向前移动",
"vpp_settings_cambackward","Camera move backward","Camera move backward","Camera move backward","Camera move backward","Camera move backward","Camera move backward","Camera move backward","Camera move backward","Camera move backward","Camera move backward","相機向後移動","Camera move backward","Camera move backward","相机向后移动",
"vpp_settings_camright","Camera move right","Camera move right","Camera move right","Camera move right","Camera move right","Camera move right","Camera move right","Camera move right","Camera move right","Camera move right","相機向右移動","Camera move right","Camera move right","相机向右移动",
"vpp_settings_camleft","Camera move left","Camera move left","Camera move left","Camera move left","Camera move left","Camera move left","Camera move left","Camera move left","Camera move left","Camera move left","相機向左移動","Camera move left","Camera move left","相机向左移动",
"vpp_settings_camup","Camera move up","Camera move up","Camera move up","Camera move up","Camera move up","Camera move up","Camera move up","Camera move up","Camera move up","Camera move up","相機向上移動","Camera move up","Camera move up","相机向上移动",
"vpp_settings_camdown","Camera move down","Camera move down","Camera move down","Camera move down","Camera move down","Camera move down","Camera move down","Camera move down","Camera move down","Camera move down","相機向下移動","Camera move down","Camera move down","相机向下移动",
"vpp_settings_camturbo","Camera turbo","Camera turbo","Camera turbo","Camera turbo","Camera turbo","Camera turbo","Camera turbo","Camera turbo","Camera turbo","Camera turbo","相機加速","Camera turbo","Camera turbo","相机加速",
"vpp_settings_rotateleft","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","旋轉對象（物體構建器）","Object Rotate (Object Builder)","Object Rotate (Object Builder)","旋转对象（物体构建器）",
"vpp_settings_rotateright","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","Object Rotate (Object Builder)","旋轉對象（物體構建器）","Object Rotate (Object Builder)","Object Rotate (Object Builder)","旋转对象（物体构建器）",
"vpp_settings_camshiftleft","Camera shift left","Camera shift left","Camera shift left","Camera shift left","Camera shift left","Camera shift left","Camera shift left","Camera shift left","Camera shift left","Camera shift left","相機左移","Camera shift left","Camera shift left","相机左移",
"vpp_settings_camshiftright","Camera shift right","Camera shift right","Camera shift right","Camera shift right","Camera shift right","Camera shift right","Camera shift right","Camera shift right","Camera shift right","Camera shift right","相機右移","Camera shift right","Camera shift right","相机右移",
"vpp_settings_camshiftup","Camera shift up","Camera shift up","Camera shift up","Camera shift up","Camera shift up","Camera shift up","Camera shift up","Camera shift up","Camera shift up","Camera shift up","相機上移","Camera shift up","Camera shift up","相机上移",
"vpp_settings_camshiftdown","Camera shift down","Camera shift down","Camera shift down","Camera shift down","Camera shift down","Camera shift down","Camera shift down","Camera shift down","Camera shift down","Camera shift down","相機下移","Camera shift down","Camera shift down","相机下移",
"vpp_settings_camspeedadd","Camera Speed increase","Camera Speed increase","Camera Speed increase","Camera Speed increase","Camera Speed increase","Camera Speed increase","Camera Speed increase","Camera Speed increase","Camera Speed increase","Camera Speed increase","增加相機速度","Camera Speed increase","Camera Speed increase","增加相机速度",
"vpp_settings_camspeeddeduct","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","Camera Speed decrease","減少相機速度","Camera Speed decrease","Camera Speed decrease","减少相机速度",
"vpp_settings_camfov","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[按住] 相機縮放改變視野","[Hold] Camera zoom in/out to change FOV","[Hold] Camera zoom in/out to change FOV","[按住] 相机缩放改变视野",
"vpp_settings_toggleesp","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","Toggle ESP","切換 ESP","Toggle ESP","Toggle ESP","切换 ESP",
"vpp_menu_vpp","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPPAdminTools","VPP管理工具","VPPAdminTools","VPPAdminTools","VPP管理工具",
"vpp_bind_unfocus","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","Toggle player/mouse control in menu","切換菜單中的玩家/鼠標控制","Toggle player/mouse control in menu","Toggle player/mouse control in menu","切换菜单中的玩家/鼠标控制",
"VSTR_MENU_PLAYERMANAGER","Player Manager","Spielerverwaltung","Player Manager","Správce hráčů","Менеджер игроков","Menedżer graczy","Játékoskezelő","Gestione giocatori","Gestor de jugadores","Gestionnaire de joueurs","玩家管理器","プレイヤーマネージャー","Gerenciador de jogadores","玩家管理器",
"VSTR_MENU_ITEMMANAGER","Items Spawner","Items Spawner","Items Spawner","Spawner předmětů","Спавн предметов","Spawner przedmiotów","Tárgy spawner","Spawner oggetti","Generador de objetos","Générateur d'objets","物品生成器","アイテムスポナー","Gerador de itens","物品生成器",
"VSTR_MENU_TELEPORTMANAGER","Teleport Tools","Teleport-Tools","Teleport Tools","Teleportovací nástroje","Инструменты телепорта","Narzędzia teleportacji","Teleport eszközök","Strumenti di teletrasporto","Herramientas de teletransporte","Outils de téléportation","傳送工具","テレポートツール","Ferramentas de teletransporte","传送工具",
"VSTR_MENU_ESPTOOLS","ESP Tools","ESP-Tools","ESP Tools","ESP nástroje","ESP инструменты","Narzędzia ESP","ESP eszközök","Strumenti ESP","Herramientas ESP","Outils ESP","ESP 工具","ESP ツール","Ferramentas ESP","ESP 工具",
"VSTR_MENU_CONSOLE","Console","Konsole","Console","Konzole","Консоль","Konsola","Konzol","Console","Consola","Console","控制台","コンソール","Console","控制台",
"VSTR_MENU_SERVERMANAGER","Server Settings","Servereinstellungen","Server Settings","Nastavení serveru","Настройки сервера","Ustawienia serwera","Szerverbeállítások","Impostazioni server","Configuración del servidor","Paramètres du serveur","伺服器設定","サーバー設定","Configurações do servidor","服务器设置",
"VSTR_MENU_WEATHERMANAGER","Weather Editor","Wetter-Editor","Weather Editor","Editor počasí","Редактор погоды","Edytor pogody","Időjárás szerkesztő","Editor meteo","Editor de clima","Éditeur météo","天氣編輯器","天気エディター","Editor de clima","天气编辑器",
"VSTR_MENU_OBJECTMANAGER","Object Builder","Objekt-Builder","Object Builder","Stavitel objektů","Конструктор объектов","Budowniczy obiektów","Objektum építő","Costruttore oggetti","Constructor de objetos","Constructeur d'objets","對象構建器","オブジェクトビルダー","Construtor de objetos","对象构建器",
"VSTR_MENU_BANSMANAGER","Bans Manager","Bann-Manager","Bans Manager","Správce banů","Менеджер банов","Menedżer banów","Ban kezelő","Gestione ban","Gestor de baneos","Gestionnaire de bans","封禁管理器","BANマネージャー","Gerenciador de banimentos","封禁管理器",
"VSTR_MENU_PERMISSIONSEDITOR","Permission Editor","Berechtigungseditor","Permission Editor","Editor oprávnění","Редактор прав","Edytor uprawnień","Jogosultság szerkesztő","Editor permessi","Editor de permisos","Éditeur de permissions","權限編輯器","権限エディター","Editor de permissões","权限编辑器",
"VSTR_MENU_WEBHOOKS","Webhooks","Webhooks","Webhooks","Webhooky","Вебхуки","Webhooks","Webhookok","Webhook","Webhooks","Webhooks","網絡鉤子","ウェブフック","Webhooks","网络钩子",
"VSTR_MENU_XMLEDITOR","XML Editor","XML-Editor","XML Editor","XML editor","XML редактор","Edytor XML","XML szerkesztő","Editor XML","Editor XML","Éditeur XML","XML編輯器","XMLエディター","Editor XML","XML编辑器",
"VSTR_LBL_SET_SCALE","Set Scale","Skalierung einstellen","Set Scale","Nastavit měřítko","Установить масштаб","Ustaw skalę","Méret beállítása","Imposta scala","Establecer escala","Définir l'échelle","更改體型","スケール設定","Definir escala","更改体型",
"VSTR_SLIDER_HEALTH","Health","Gesundheit","Health","Zdraví","Здоровье","Zdrowie","Egészség","Salute","Salud","Santé","生命值","体力","Saúde","生命值",
"VSTR_SLIDER_BLOOD","Blood","Blut","Blood","Krev","Кровь","Krew","Vér","Sangue","Sangre","Sang","血量","血液","Sangue","血量",
"VSTR_SLIDER_SHOCK","Shock","Schock","Shock","Šok","Шок","Wstrząs","Sokk","Shock","Choque","Choc","休克值","ショック","Choque","休克值",
"VSTR_SLIDER_WATER","Water","Wasser","Water","Voda","Вода","Woda","Víz","Acqua","Agua","Eau","水分","水分","Água","水分",
"VSTR_SLIDER_ENERGY","Energy","Energie","Energy","Energie","Энергия","Energia","Energia","Energia","Energía","Énergie","能量","エネルギー","Energia","能量",
"VSTR_BTN_REFRESH","Refresh","Aktualisieren","Refresh","Obnovit","Обновить","Odśwież","Frissítés","Aggiorna","Actualizar","Actualiser","刷新","更新","Atualizar","刷新",
"VSTR_LBL_POSITION","Position:","Position:","Position:","Pozice:","Позиция:","Pozycja:","Pozíció:","Posizione:","Posición:","Position:","座標位置:","位置:","Posição:","坐标位置:",
"VSTR_BTN_COPY","Copy","Kopieren","Copy","Kopírovat","Копировать","Kopiuj","Másolás","Copia","Copiar","Copier","複製","コピー","Copiar","复制",
"VSTR_LBL_SELECT_IN_PM","Select In PlayerManager","In Spielerverwaltung auswählen","Select In PlayerManager","Vybrat ve správci hráčů","Выбрать в менеджере игроков","Wybierz w menedżerze graczy","Kiválasztás a játékoskezelőben","Seleziona nel gestore giocatori","Seleccionar en el gestor de jugadores","Sélectionner dans le gestionnaire de joueurs","在玩家管理器中選擇","プレイヤーマネージャーで選択","Selecionar no gerenciador de jogadores","在玩家管理器中选择",
"VSTR_LBL_TELEPORT","Teleport:","Teleportieren:","Teleport:","Teleportovat:","Телепорт:","Teleportuj:","Teleportálás:","Teletrasporto:","Teletransportar:","Téléporter:","傳送:","テレポート:","Teletransportar:","传送:",
"VSTR_BTN_TP_TO_ME","To me","Zu mir","To me","Ke mně","Ко мне","Do mnie","Hozzám","A me","A mí","Vers moi","傳送到我","自分に","Para mim","传送到我",
"VSTR_BTN_TP_TO","To","Zu","To","K","К","Do","Ide","A","A","Vers","傳送到","へ","Para","传送到",
"VSTR_BTN_RETURN","Return","Zurück","Return","Vrátit","Вернуться","Powrót","Visszatérés","Ritorna","Volver","Retour","返回位置","戻る","Voltar","返回位置",
"VSTR_BTN_KILL","Kill","Töten","Kill","Zabít","Убить","Zabij","Megöl","Uccidi","Matar","Tuer","擊殺","殺す","Matar","击杀",
"VSTR_BTN_HEAL","Heal","Heilen","Heal","Vyléčit","Лечить","Wylecz","Gyógyít","Cura","Curar","Soigner","治癒","治療する","Curar","治愈",
"VSTR_CHK_FILTER_BY_SCOPE","Filter by scope","Nach Reichweite filtern","Filter by scope","Filtrovat podle dosahu","Фильтр по области","Filtruj według zakresu","Szűrés hatókör szerint","Filtra per raggio","Filtrar por alcance","Filtrer par portée","按範圍過濾","範囲でフィルター","Filtrar por alcance","按范围过滤",
"VSTR_LBL_ROTATION_STEP","Rotation Step:","Rotationsschritt:","Rotation Step:","Krok rotace:","Шаг вращения:","Krok obrotu:","Forgatási lépés:","Passo rotazione:","Paso de rotación:","Pas de rotation:","旋轉範圍:","回転ステップ:","Passo de rotação:","旋转范围:",
"VSTR_LBL_SELECTED_SET","Selected Set: (Name)","Ausgewähltes Set: (Name)","Selected Set: (Name)","Vybraná sada: (Název)","Выбранный набор: (Имя)","Wybrany zestaw: (Nazwa)","Kiválasztott készlet: (Név)","Set selezionato: (Nome)","Conjunto seleccionado: (Nombre)","Ensemble sélectionné: (Nom)","已選擇集合:(名稱)","選択されたセット:(名前)","Conjunto selecionado: (Nome)","已选择集合:(名称)",
"VSTR_LBL_ITEM_DISPLAY_NAME","Item Display Name","Elementname","Item Display Name","Název položky","Название элемента","Nazwa elementu","Elem megjelenítési neve","Nome visualizzato oggetto","Nombre mostrado del objeto","Nom affiché de l'objet","物品顯示名稱","アイテム表示名","Nome de exibição do item","物品显示名称",
"VSTR_LBL_VIEW_LOGS","View Logs","Protokolle anzeigen","View Logs","Zobrazit protokoly","Просмотр логов","Wyświetl logi","Naplók megtekintése","Visualizza log","Ver registros","Voir les journaux","查看日誌","ログを表示","Ver registros","查看日志",
"VSTR_LBL_POSITION_NAME","position name","Positionsname","position name","název pozice","название позиции","nazwa pozycji","pozíció neve","nome posizione","nombre de posición","nom de position","位置名稱","位置名","nome da posição","位置名称",
"VSTR_DIALOG_TITLE","Dialog","Dialog","Dialog","Dialog","Диалог","Dialog","Párbeszéd","Finestra dialogo","Diálogo","Dialogue","對話框","ダイアログ","Diálogo","对话框",
"VSTR_DIALOG_CONTENT","Dialog Content","Dialoginhalt","Dialog Content","Obsah dialogu","Содержимое диалога","Treść dialogu","Párbeszéd tartalma","Contenuto finestra","Contenido del diálogo","Contenu du dialogue","對話框內容","ダイアログコンテンツ","Conteúdo do diálogo","对话框内容",
"VSTR_YES","YES","JA","YES","ANO","ДА","TAK","IGEN","SI","SÍ","OUI","是","はい","SIM","是",
"VSTR_NO","NO","NEIN","NO","NE","НЕТ","NIE","NEM","NO","NO","NON","否","いいえ","NÃO","否",
"VSTR_PASTE","Paste","Einfügen","Paste","Vložit","Вставить","Wklej","Beillesztés","Incolla","Pegar","Coller","黏貼","貼り付け","Colar","粘贴",
"VSTR_OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","確定","OK","OK","确定",
"VSTR_CANCEL","CANCEL","ABBRECHEN","CANCEL","ZRUŠIT","ОТМЕНА","ANULUJ","MÉGSE","ANNULLA","CANCELAR","ANNULER","取消","キャンセル","CANCELAR","取消",
"VSTR_ENTER_VALUE","Enter Value","Wert eingeben","Enter Value","Zadat hodnotu","Введите значение","Wprowadź wartość","Érték megadása","Inserisci valore","Ingresar valor","Entrer une valeur","輸入數值","値を入力","Inserir valor","输入数值",
"VSTR_TEXT_EDITOR","Text Editor","Texteditor","Text Editor","Textový editor","Текстовый редактор","Edytor tekstu","Szövegszerkesztő","Editor di testo","Editor de texto","Éditeur de texte","文本編輯器","テキストエディター","Editor de texto","文本编辑器",
"VSTR_APPLY","Apply","Anwenden","Apply","Použít","Применить","Zastosuj","Alkalmaz","Applica","Aplicar","Appliquer","應用","適用","Aplicar","应用",
"VSTR_NEW_POSITION_NAME","New Position Name","Neuer Positionsname","New Position Name","Název nové pozice","Название новой позиции","Nazwa nowej pozycji","Új pozíció neve","Nuovo nome posizione","Nuevo nombre de posición","Nouveau nom de position","新位置名稱","新しい位置名","Novo nome de posição","新位置名称",
"VSTR_ENTER_NEW_LOCATION","Enter New Location Name:","Neuen Ortsnamen eingeben:","Enter New Location Name:","Zadat název nového místa:","Введите название новой локации:","Wprowadź nazwę nowej lokalizacji:","Új helyszín nevének megadása:","Inserisci nome nuova posizione:","Ingresar nuevo nombre de ubicación:","Entrer un nouveau nom de lieu:","輸入新位置名稱:","新しい場所名を入力:","Inserir novo nome de localização:","输入新位置名称:",
"VSTR_CLEAR_ALL","Clear All","Alles löschen","Clear All","Vymazat vše","Очистить всё","Wyczyść wszystko","Összes törlése","Cancella tutto","Limpiar todo","Tout effacer","清除全部","すべてクリア","Limpar tudo","清除全部",
"VSTR_CUSTOM_SUBMENU","CUSTOM SUB-MENU","BENUTZERDEFINIERTES UNTERMENÜ","CUSTOM SUB-MENU","VLASTNÍ PODNABÍDKA","ПОЛЬЗОВАТЕЛЬСКОЕ ПОДМЕНЮ","WŁASNE PODMENU","EGYÉNI ALMENÜ","SOTTOMENU PERSONALIZZATO","SUBMENÚ PERSONALIZADO","SOUS-MENU PERSONNALISÉ","自訂子菜單","カスタムサブメニュー","SUBMENU PERSONALIZADO","自定义子菜单",
"VSTR_CUSTOM_BUTTON","CUSTOM BUTTON","BENUTZERDEFINIERTE SCHALTFLÄCHE","CUSTOM BUTTON","VLASTNÍ TLAČÍTKO","ПОЛЬЗОВАТЕЛЬСКАЯ КНОПКА","WŁASNY PRZYCISK","EGYÉNI GOMB","PULSANTE PERSONALIZZATO","BOTÓN PERSONALIZADO","BOUTON PERSONNALISÉ","自訂按鈕","カスタムボタン","BOTÃO PERSONALIZADO","自定义按钮",
"VSTR_CAMERA_OPTIONS","VPPADMINTOOLS - CAMERA OPTIONS","VPPADMINTOOLS - KAMERA OPTIONEN","VPPADMINTOOLS - CAMERA OPTIONS","VPPADMINTOOLS - MOŽNOSTI KAMERY","VPPADMINTOOLS - НАСТРОЙКИ КАМЕРЫ","VPPADMINTOOLS - OPCJE KAMERY","VPPADMINTOOLS - KAMERA BEÁLLÍTÁSOK","VPPADMINTOOLS - OPZIONI TELECAMERA","VPPADMINTOOLS - OPCIONES DE CÁMARA","VPPADMINTOOLS - OPTIONS CAMÉRA","VPP管理工具 - 相機選項","VPPADMINTOOLS - カメラオプション","VPPADMINTOOLS - OPÇÕES DE CÂMERA","VPP管理工具 - 相机选项",
"VSTR_LBL_SHOW_DEAD_PLAYERS","Show Dead Players:","Tote Spieler anzeigen:","Show Dead Players:","Zobrazit mrtvé hráče:","Показать мёртвых игроков:","Pokaż martwych graczy:","Halott játékosok mutatása:","Mostra giocatori morti:","Mostrar jugadores muertos:","Afficher joueurs morts:","顯示死亡玩家:","死亡プレイヤーを表示:","Mostrar jogadores mortos:","显示死亡玩家:",
"VSTR_LBL_SHOW","Show","Anzeigen","Show","Zobrazit","Показать","Pokaż","Mutat","Mostra","Mostrar","Afficher","顯示","表示","Mostrar","显示",
